id_sesi,mata_kuliah,kelas,dosen,asisten,ruang_lab,peralatan_lab,inventaris_ruang_lab,hari,slot,warna_graph
L2-S023,IoT,A,Dr. Nanda M.Cs. (D01),['Maya (A13)'],Lab-D,"['Alat-01', 'Alat-07']","[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-4CE596856B72', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-33966505A892', 'kondisi': 'Baik'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-779143C98301', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-73FA5401F8C3', 'kondisi': 'Baik'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-BD7E92E4E868', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-4FCF88C8FE7A', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-027A6C806A42', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-BA430D5D48D0', 'kondisi': 'Baik'}]",Senin,9,1
L2-S010,Sistem Tertanam,B,Dr. Yoga M.Eng. (D09),['Dewi (A05)'],Lab-F,"['Alat-04', 'Alat-06']","[{'nama_alat': 'Sound System', 'rfid': 'RFID-3455CB807522', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-B38B0D466021', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-DA3C8BB31CA0', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-AFD9ADEF246F', 'kondisi': 'Baik'}]",Senin,10,1
L2-S019,Sistem Digital,B,"Dr. Lutfi S.T., M.T. (D13)",['Putri (A16)'],Lab-C,"['Alat-06', 'Alat-07', 'Alat-10']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Selasa,1,2
L2-S020,Multimedia,A,"Dr. Umi S.Kom., M.Kom. (D15)","['Indah (A20)', 'Vina (A09)']",Lab-H,['Alat-15'],"[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-C287A1708DFF', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-9CCE810B9D2D', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-71B1CC6E6D4B', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-5C65CD7928BA', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-951060ABB8AD', 'kondisi': 'Baik'}]",Selasa,1,2
L2-S009,Pemrograman Mobile,A,"Dr. Adi S.T., M.T. (D07)","['Budi (A11)', 'Dewi (A01)']",Lab-E,['Alat-03'],"[{'nama_alat': 'Rak Peralatan', 'rfid': 'RFID-A3B5D0584693', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-4BF1E271E48F', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-90122A6EB39F', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-3E015DEF35DC', 'kondisi': 'Dalam Perawatan'}]",Selasa,2,2
L2-S034,Mikrokontroler,C,Dr. Kartika M.Eng. (D14),"['Gita (A17)', 'Kartika (A07)']",Lab-A,"['Alat-01', 'Alat-08', 'Alat-11']","[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Selasa,3,2
L2-S008,Grafika Komputer,B,Dr. Farhan Ph.D. (D03),['Joko (A10)'],Lab-B,"['Alat-09', 'Alat-12', 'Alat-13']","[{'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-64E75222E657', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-EC48D3B81462', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-4398557E1EFA', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-6FBA73BB0483', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-281180E64D29', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-595AD0C1018D', 'kondisi': 'Baik'}]",Selasa,4,2
L2-S015,Jaringan Komputer,A,Dr. Dewi M.Cs. (D06),['Dewi (A01)'],Lab-G,"['Alat-01', 'Alat-03', 'Alat-10']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-21D601430B04', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-953C5C042370', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-2D0045FB696E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-6A9806D6ABC6', 'kondisi': 'Baik'}]",Selasa,5,3
L2-S047,Data Mining,C,"Dr. Umi S.Kom., M.Kom. (D15)",['Kartika (A07)'],Lab-B,['Alat-08'],"[{'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-64E75222E657', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-EC48D3B81462', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-4398557E1EFA', 'kondisi': 'Baik'}, {'nama_alat': 'UPS', 'rfid': 'RFID-6FBA73BB0483', 'kondisi': 'Baik'}, {'nama_alat': 'Panel Listrik', 'rfid': 'RFID-281180E64D29', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-595AD0C1018D', 'kondisi': 'Baik'}]",Selasa,5,3
L2-S048,Komputasi Awan,C,"Dr. Adi S.T., M.T. (D07)","['Joko (A10)', 'Rama (A02)']",Lab-A,"['Alat-02', 'Alat-05', 'Alat-09']","[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Selasa,6,3
L2-S016,Struktur Data,A,Dr. Yoga M.Eng. (D09),"['Eka (A19)', 'Putri (A16)']",Lab-E,['Alat-11'],"[{'nama_alat': 'Rak Peralatan', 'rfid': 'RFID-A3B5D0584693', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-4BF1E271E48F', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-90122A6EB39F', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-3E015DEF35DC', 'kondisi': 'Dalam Perawatan'}]",Selasa,7,3
L2-S030,Basis Data,A,"Dr. Sari S.T., M.T. (D02)","['Dewi (A14)', 'Maya (A13)']",Lab-D,['Alat-06'],"[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-4CE596856B72', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-33966505A892', 'kondisi': 'Baik'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-779143C98301', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-73FA5401F8C3', 'kondisi': 'Baik'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-BD7E92E4E868', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-4FCF88C8FE7A', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-027A6C806A42', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-BA430D5D48D0', 'kondisi': 'Baik'}]",Selasa,8,3
L2-S022,Sistem Operasi,C,Dr. Farhan M.Cs. (D08),['Gita (A17)'],Lab-H,"['Alat-07', 'Alat-12', 'Alat-15']","[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-C287A1708DFF', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-9CCE810B9D2D', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-71B1CC6E6D4B', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-5C65CD7928BA', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-951060ABB8AD', 'kondisi': 'Baik'}]",Selasa,9,3
L2-S052,Grafika Komputer,B,Dr. Yoga Ph.D. (D10),"['Taufik (A04)', 'Zahra (A21)']",Lab-C,['Alat-14'],"[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Selasa,10,3
L2-S011,Rekayasa Perangkat Lunak,A,Dr. Yoga Ph.D. (D10),['Joko (A10)'],Lab-E,"['Alat-03', 'Alat-07', 'Alat-08']","[{'nama_alat': 'Rak Peralatan', 'rfid': 'RFID-A3B5D0584693', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-4BF1E271E48F', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-90122A6EB39F', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-3E015DEF35DC', 'kondisi': 'Dalam Perawatan'}]",Rabu,1,4
L2-S031,Struktur Data,C,Dr. Yoga M.Eng. (D09),['Hadi (A22)'],Lab-D,"['Alat-06', 'Alat-09', 'Alat-11']","[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-4CE596856B72', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-33966505A892', 'kondisi': 'Baik'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-779143C98301', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-73FA5401F8C3', 'kondisi': 'Baik'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-BD7E92E4E868', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-4FCF88C8FE7A', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-027A6C806A42', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-BA430D5D48D0', 'kondisi': 'Baik'}]",Rabu,2,4
L2-S033,Rekayasa Perangkat Lunak,C,"Dr. Umi S.Kom., M.Kom. (D15)",['Budi (A11)'],Lab-A,"['Alat-01', 'Alat-13']","[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Rabu,3,4
L2-S006,Komputasi Awan,A,Dr. Farhan M.Cs. (D08),['Gita (A18)'],Lab-C,['Alat-10'],"[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Rabu,4,4
L2-S035,Data Mining,B,"Dr. Adi S.T., M.T. (D07)","['Dewi (A08)', 'Joko (A10)']",Lab-C,"['Alat-07', 'Alat-10', 'Alat-15']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Rabu,5,5
L2-S059,Machine Learning,A,"Dr. Umi S.Kom., M.Kom. (D15)","['Eka (A19)', 'Vina (A09)']",Lab-H,"['Alat-03', 'Alat-08', 'Alat-12']","[{'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-C287A1708DFF', 'kondisi': 'Baik'}, {'nama_alat': 'Router', 'rfid': 'RFID-9CCE810B9D2D', 'kondisi': 'Baik'}, {'nama_alat': 'Sound System', 'rfid': 'RFID-71B1CC6E6D4B', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-5C65CD7928BA', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-951060ABB8AD', 'kondisi': 'Baik'}]",Rabu,6,5
L2-S014,Keamanan Jaringan,B,Dr. Farhan M.Cs. (D08),"['Budi (A11)', 'Taufik (A04)']",Lab-A,['Alat-11'],"[{'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-577C27FBF9FB', 'kondisi': 'Baik'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-230CA8F5315D', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-BFCA72EB0AE1', 'kondisi': 'Baik'}, {'nama_alat': 'Kamera CCTV', 'rfid': 'RFID-04BA3DD4F418', 'kondisi': 'Perlu Perbaikan'}]",Rabu,7,5
L2-S062,Sistem Digital,B,Dr. Yoga Ph.D. (D10),['Maya (A13)'],Lab-D,"['Alat-06', 'Alat-09']","[{'nama_alat': 'Osiloskop', 'rfid': 'RFID-4CE596856B72', 'kondisi': 'Baik'}, {'nama_alat': 'Access Point WiFi', 'rfid': 'RFID-33966505A892', 'kondisi': 'Baik'}, {'nama_alat': 'Meja Kerja Lab', 'rfid': 'RFID-779143C98301', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-73FA5401F8C3', 'kondisi': 'Baik'}, {'nama_alat': 'Papan Tulis Digital', 'rfid': 'RFID-BD7E92E4E868', 'kondisi': 'Baik'}, {'nama_alat': 'Layar Proyeksi', 'rfid': 'RFID-4FCF88C8FE7A', 'kondisi': 'Baik'}, {'nama_alat': 'Kabel Jaringan Terpasang', 'rfid': 'RFID-027A6C806A42', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'Modul Praktikum IoT', 'rfid': 'RFID-BA430D5D48D0', 'kondisi': 'Baik'}]",Rabu,8,5
L2-S060,Pemrograman Web,A,"Dr. Adi S.T., M.T. (D07)",['Dewi (A05)'],Lab-G,"['Alat-03', 'Alat-10']","[{'nama_alat': 'Server Rack', 'rfid': 'RFID-21D601430B04', 'kondisi': 'Dalam Perawatan'}, {'nama_alat': 'UPS', 'rfid': 'RFID-953C5C042370', 'kondisi': 'Baik'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-2D0045FB696E', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-6A9806D6ABC6', 'kondisi': 'Baik'}]",Rabu,9,6
L2-S040,Struktur Data,A,Dr. Farhan Ph.D. (D03),['Putri (A15)'],Lab-C,['Alat-15'],"[{'nama_alat': 'Server Rack', 'rfid': 'RFID-46CA227E7CBE', 'kondisi': 'Baik'}, {'nama_alat': 'Osiloskop', 'rfid': 'RFID-F71B943EC556', 'kondisi': 'Baik'}, {'nama_alat': 'Printer 3D', 'rfid': 'RFID-04F60C42AA5B', 'kondisi': 'Baik'}, {'nama_alat': 'AC (Pendingin Ruangan)', 'rfid': 'RFID-7F90239D050A', 'kondisi': 'Baik'}, {'nama_alat': 'Whiteboard', 'rfid': 'RFID-F1624E85F00C', 'kondisi': 'Perlu Perbaikan'}, {'nama_alat': 'PC Desktop Praktikum', 'rfid': 'RFID-5A187DB706D8', 'kondisi': 'Baik'}, {'nama_alat': 'Switch Jaringan', 'rfid': 'RFID-1CCA96B6E9AE', 'kondisi': 'Baik'}]",Rabu,9,6
